,MOF,Selectivity,Ethane_uptake
0,345316,1.2734241908006816,178.61099431054828
1,365514,1.6199804113614102,1619.7553474086847
2,338906,1.4253535882661081,1551.870074824736
3,419186,1.8479102956167175,5393.750659315159
4,398486,1.7498945592576969,7404.455044031629
5,427713,1.5479293845900015,1903.445155118333
6,348333,1.3014084507042254,642.3203614974295
7,345984,1.2545454545454546,207.00669952370518
8,437150,1.4052846318243637,13226.158929909341
9,429539,1.3858577900334843,108894.42947282533
10,435331,1.7372175980975029,4051.6656461771104
11,465478,1.860163092721232,7235.542644598056
12,341816,1.4383796773086168,688.9623664614942
13,345748,1.8544526453749053,20090.34145717099
14,341468,1.650245409925468,2513.0466961184675
15,356475,1.2946768060836502,293.05316627427675
16,428313,1.6614843062481666,3039.8937362667402
17,373314,1.2658959537572254,379.73070418676116
18,342266,1.5721932870370368,3237.465801561697
19,341687,1.733848250795093,21571.38327442775
20,374043,1.7625784369652024,15004.103835869555
21,422929,1.7222431313511477,38281.66758237936
22,365805,1.9029462738301564,13712.204798768755
23,392936,1.6978443113772457,13382.284440861338
24,370982,1.2760241773002012,204.70905041876912
25,405974,1.2280701754385963,236.2652096833824
26,448281,1.6462106558818357,12616.446312983655
27,381800,1.5087640449438202,4088.896909926352
28,412587,1.7045055588063194,7684.802102433863
29,334431,1.8390225349434253,5465.55888144717
30,456557,1.1428571428571428,203.46633357486
31,339587,1.6770917952883833,33203.12306678001
32,390723,1.3514335360556038,572.1486723000609
33,446656,1.4258336527405135,837.2610914488355
34,370568,1.2653175941540191,216.33357738363503
35,420514,1.4756756756756757,704.4102037505803
36,453938,1.3837209302325582,443.1150458784516
37,409238,1.5639246778989095,1630.4393353324558
38,349081,1.6858324715615305,2937.030369797493
39,347747,1.3672566371681416,375.7975815049937
40,366863,1.656047197640118,5002.662705381948
41,359087,1.4661719773024882,726.4516829111363
42,384817,1.567845659163987,1984.6400903350961
43,368535,1.4578414839797642,780.7273137012997
44,387490,1.6866056096164852,7560.565555407705
45,397632,1.5284861638632663,11800.952412042483
46,433145,1.6725181598062953,25717.680068773607
47,340044,1.64888500218627,2908.5539677731426
48,439422,1.8225231646471844,9830.005835416176
49,441269,1.9437238076232288,14111.618304226919
50,376794,1.3457516339869282,507.5779032939668
51,454955,1.6564532694282783,2727.838607795697
52,349689,1.8558328778769664,18695.84393568194
53,445826,1.7360447381799695,25226.185000386835
54,338880,1.345201238390093,244.12803131604724
55,434213,1.3122560499609681,38126.94488207221
56,459894,1.5221902017291065,4047.105788851889
57,424938,1.432803071859572,499.8091449217529
58,445909,1.2983947119924455,217.54777605157383
59,360113,1.5876842540294804,6626.032752794366
60,375051,1.1014851485148516,108.5214971401415
